Session 5 - Cabin Act Sorting 2026 - B
,Monday,,,,,Tuesday,,,,,Wednesday,,,,,Thursday,,,,,Friday

M1,Activity,Plan characters / outfits for snack magic,,,,Activity,Stranded in the woods,,,,Activity,art at falls,,,,Activity,"CA: Blackberry picking, RH: blackberry muffins",,,,Activity,Giant swing target practice
,Description,Plan a snack magic and then later that day help serve snack with the characters created,,,,Description,"Cabin gets kidnapped, blindfolded, optionally blindfolded, and dropped in the woods. We find our way back with compasses and a radio",,,,Description,"write letters, and do art at falls",,,,Description,"Pick blackberries, and make muffins using the berries we pick",,,,Description,Do giant swing and try to hit a target from the air with a water gun
,Materials,"Facepaint, paper, pens, costumes (self collected)",,,,Materials,"6 compasses, radio, blindfolds x6, bandannas for tying x6",,,,Materials,"Spa box, paint, canvases",,,,Materials,"▢½ cup butter *softened, 1 cup sugar, 2 eggs, 2 cups flour *all purpose, 2 teaspoon baking powder, ½ teaspoon salt, ½ cup milk, bowl for mixing, bowl for gathering blackberries, measuring spoons, mixing bowl, whisk, measuring cups, cupcake tins",,,,Materials,"Water gun, cardboard, scissors, paper, tape"
,Location,Dining Area 1,,,,Location,Back 40 1,,,,Location,The Falls - Bottom,,,,Location,Dining Area 1,,,,Location,Giant Swing
,Notes,Could be fun to have a hero help with ideas but not a need,,,,Notes,Driver - Monday preferred?,,,,Notes,,,,,Notes,https://thecookinchicks.com/easy-blackberry-muffins/,,,,Notes,Giant swing
,HEROES,,,,,HEROES,Driver,,,,HEROES,,,,,HEROES,,,,,HEROES,"Giants Swing 1st, Pole Course On ground"
M2,Activity,M-Berry Blind Taste Test,,,,Activity,Kidnap and Picnic,,,,Activity,Cookie Presents,,,,Activity,Banana Cult,,,,Activity,Franken Bears Hidden
,Description,"A blind taste test of various foods after eating the m-berry. Then they have to guess what they ate, if wrong you have to eat a corresponding ""gross food""",,,,Description,They would like to kidnap Yolanne and lead her to a surprise Birthday party at The Lodge. We drop her off and leave her clues to find us. When she fnds us we have a party in the lodge with aerial yoga performances,,,,Description,They would like to bake cookies for Yolannes B-Day party and make some gifts,,,,Description,They would like to sacrifice James to the banana lord by making him eat a banana while they spray him with water and then try to get other people to join our cult,,,,Description,Put different stuffed animals together and then hide them around camp  with missing flyers
,Materials,"Miracle Berries, apple slices, water melon, lemon, vinegar, orange slices, yogurt, mayo, pickles, boiled eggs",,,,Materials,"Blindfold, rope, candles (3), speaker, silks (2)",,,,Materials,"flour, chocolate chips, eggs, vanilla extract, baking powder, sugar",,,,Materials,"bananas (3), waterguns",,,,Materials,"stuffed animal parts, thread, needles, paper (10), pens (5)"
,Location,Dining Area 1,,,,Location,Lodge,,,,Location,Dining Area 2,,,,Location,,,,,Location
