Session 3 - Cabin Act Sorting 2026 - A
,Monday,,,,,Tuesday,,,,,Wednesday,,,,,Thursday,,,,,Friday

M1,Activity,Cabin Dance,,FALSE,,Activity,Horses Makeover,,,,Activity,Tie Dye Matching Shirts,,FALSE,,Activity,Falls Spa Day,,,,Activity,Paint a Mural
,Description,Making a cabin dance and perform it at Oakzanita,,N,,Description,"They would like to decorate the horses, paint them/their nails, braid mains, whatever they can do",,,,Description,We would like to make matching cabin shirts with tie dye as a group with tie dye,,N,,Description,"Spa day at the falls with face masks, henna, and possibley some swimming",,,,Description,Paint a Mural to decorate one large paper or canvas. Different ways of painting
,Materials,,,FALSE,,Materials,"Horse paint, ribbon, whatever they can do to horses",,,,Materials,"5 shirts (youth medium), 1 more for counselor",,FALSE,,Materials,"6 face masks, henna, nail polish, blanket",,,,Materials,"baloons, sponges, paint brushes, canvases, papers, 6 aprons, 6 sets of gloves"
,Location,Aerial Silks,,FALSE,,Location,Horses,,,,Location,Craft Shack 1,,FALSE,,Location,The Falls - Bottom,,,,Location
,Notes,Must do on Wednesday,,FALSE,,Notes,EQ Horses,,,,Notes,Tie Dye HERO,,FALSE,,Notes,,,,,Notes
,HEROES,,,,,HEROES,,,,,HEROES,Tie Dye,,,,HEROES,,,,,HEROES
M2,Activity,Cabin Logo,,,,Activity,Oakzanita Skit Creation & Practice,,,,Activity,Bubble Bath a Horse,,,,Activity,"Blind, Mute, Deaf Slime Challenge",,,,Activity,Crazy Giant Candlemaking
,Description,Create a logo for the cabin on a big piece of wood,,,,Description,Think about a skit for Oakzanita and practice it,,,,Description,Giving a horse a bubble bath,,,,Description,"Making borax slime together while some people are blind, deaf, and mute",,,,Description,Making giant and crazy candles to showcase in the cabin
,Materials,"At least 5 colors of acrylic paint, Big wood piece",,,,Materials,"Costumes, pen & paper & clipboard, (ideally, a few simple skits that could be printed from the campfire manual skits collection)",,,,Materials,Bubble bath supplies for Horse,,,,Materials,"Borax slime recipe, 6 (or more) teaspoon borax powder, 6 cups of white 'Elmer's' glue (clear or white), food coloring, measuring spoons set, 3 blindfolds, 2 headphones to cover ear, 2 in-ear-earplugs, slime (GOOP) as well",,,,Materials,(normal candlemaking supplies)
,Location,Dining Area 1,,,,Location,Aerial Silks,,,,Location,Horses,,,,Location,Outdoor Kitchen,,,,Location,Craft Shack 2
,Notes,,,,,Notes,,,,,Notes,EQ Heroes,,,,Notes,Must have ODK Hero,,,,Notes,Candle Hero - Diya or Sarah requested
,HEROES,,,,,HEROES,,,,,HEROES,Village Heroes,,,,HEROES,,,,,HEROES,"Sarah, Diya, Candle making"
M3,Activity,Improv mafia roleplay,,,,Activity,"Thrown In, But Never Down: Tryne's Triumph",,,,Activity,Henna picnic at the falls,,,,Activity,Bumper Cars on land,,,,Activity,Paint the Manzi swing Blindfolded
,Description,,,,,Description,"Kidnap tryne, throw her in the lake, and then have a celebration of life for her on the lake",,,,Description,Cabin wanted a chill activity,,,,Description,They want to play bumper cars and sumo wrestle,,,,Description,We blindfold the girls and let them paint the swing while blind.
,Materials,"Knife, mafia cards",,,,Materials,"1 rope, 1 blindfold, speaker, funeral music, 1 funeral outfit",,,,Materials,"Henna (8), Picnic supplies",,,,Materials,Bubble Suits (6),,,,Materials,"Wood paint, Blindfolds (6), Paintbrushes (6)"
,Location,Madrone Cradle,,,,Location,Lake - Swim Area 1,,,,Location,The Falls - Bottom,,,,Location,Field - Lake,,,,Location,Manzi
,Notes,"There is a witch there, it's creepy.",,,,Notes,"Lifeguard, and kidnapping HERO (samaya or elsa)",,,,Notes,,,,,Notes,Need HERO that has viewed new bubbsuit KM,,,,Notes
,HEROES,,,,,HEROES,"Elsa, Samaya, Kidnapping, LIFEGUARD",,,,HEROES,,,,,HEROES,Village Heroes,,,,HEROES
M4,Activity,Finish the lyrics obstacle course challenge,,,,Activity,Falls Picnic Swim and Henna,,,,Activity,Miracle Berry Game show,,,,Activity,Live action among us with M5,,,,Activity,Liquid Nitrogen Cream and Taste Test
,Description,"Try to do each element on the lake as fast as we can and then end at the trampoline at the pillow. They will get in position and do a ""guess the lyric"" challenge, when they are unable to guess they get launched",,,,Description,,,,,Description,"Do a taste test competition with miracle berries, if you guess wrong, you get water ballooned.",,,,Description,Play live action among us with M5,,,,Description,Do a competition where they make liquid nitrogen ice cream and add mix ins and try to guess which is which
,Materials,,,,,Materials,"Henna (for 5), Face Masks (7)",,,,Materials,"Oranges, lemons, limes, ? water balloons , miracle berries (enough for 7)",,,,Materials,"Slips of paper, 14 bandanas?, pens, cards that say imposter and crewmate",,,,Materials,"Ice cream ingredients (heavy cream, vanilla, sugar?),  6 bowls, 6 spoons, mix ins (6 different flavor extracts), one big mixing bowl, mixing spoon, anything else needed for liquid nitrogen ice cream"
,Location,Lake - Trampoline,,,,Location,The Falls - Bottom,,,,Location,Dining Area 2,,,,Location,Old School Play Yard,,,,Location,Dining Area 1
,Notes,Lifeguard,,,,Notes,"Samaya is requested, not pizza day",,,,Notes,,,,,Notes,,,,,Notes,Liquid Nitrogen HERO
,HEROES,LIFEGUARD,,,,HEROES,Samaya,,,,HEROES,,,,,HEROES,,,,,HEROES,Liquid Nitrogen
M5,Activity,Make a Cabin Mascot,,,,Activity,Kidnap Charleton & Give him a makeover,,,,Activity,Make Mascot T-Shirts & Flags,,,,Activity,Among Us IRL with M4,,,,Activity,Make A Cult
,Description,"Design a mascot n paper, raid costume closet to dress as closely to mascot as possible. Make Manzi 5 chant and parade around camp",,,,Description,kidnap Charleton & Give him a makeover,,,,Description,"Make masct keepsakes. Wear them, keep them",,,,Description,"Do this with M4 (they agreed) crewmates in space, imposters double tap to kill, 5 sec kill cool down",,,,Description,"Wear cloaks & chant ""bush, bush"" until we find THE bush, then put potatoes in it & worship it, then create a sign to protect it"
,Materials,"Large piece of paper, colorful markers, sharpie",,,,Materials,"rope, blindfold, hairchalk, glitter, nail polish, facepaint",,,,Materials,"Tapestry/fabric/or paper for flag, 5 blank shirts, fabric markers, sharpies",,,,Materials,"Slips of paper (20), 14 bandanas",,,,Materials,"Glitter, fake potatoes, color paper, scissors, markers, 7 cloaks, 3 colors of face paint"
,Location,Dining Area 2,,,,Location,Dining Area 2,,,,Location,Craft Shack 2,,,,Location,Old School Play Yard,,,,Location,Manzi
,Notes,,,,,Notes,Kidnap Hero,,,,Notes,,,,,Notes,,,,,Notes
,HEROES,,,,,HEROES,Village Heroes,,,,HEROES,,,,,HEROES,,,,,HEROES
P1,Activity,Knee tshirt race,,,,Activity,RC Balloon War,,,,Activity,Liquid Nitrogen Ice cream,,,,Activity,Live action Catan,,,,Activity,kidnap a staff
,Description,custom big white tee and run in a squat position with knees inside tee,,,,Description,RC cars with spiked things attached to the car. With a balloon ontop inside of the gagapit playing like a battle royale,,,,Description,make ice cream,,,,Description,"campers want to have different plots/properties, in back 40 to protect, waterguns and flag markers to mark then catan it out",,,,Description,kidnap to a party on the lodge
,Materials,"5 white tees, markers, tiny trophy (or supplies to make their own trophy)",,,,Materials,"6 rc cars, a lot of balloons, spiked things, tape",,,,Materials,"nitrogen, ice cream making supplies",,,,Materials,"flags to mark land, waterguns6x",,,,Materials,"bag, rope, costumes, speaker, lights"
,Location,Field - Tiny,,,,Location,Gaga Ball,,,,Location,Dining Area 1,,,,Location,Back 40 2,,,,Location,Campfire Circle
,Notes,,,,,Notes,Support person!,,,,Notes,liq nitrogen,,,,Notes,,,,,Notes,Chartlon??
,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES
P2,Activity,Fruit ninja,,,,Activity,Dip n Dots,,,,Activity,Soccer with Bubble Suits Rest Hour,,,,Activity,two forts,,,,Activity,Marco Polo
,Description,Cut food on tarp and eat,,,,Description,liquid nitrogen ice cream,,,,Description,Soccer but wearing Bubble Suits,,,,Description,"two forts out of cardboard and tape nerf gun fight from within, whoever wins nerf fight gets to flame thrower the other fort",,,,Description,people on dock are blindfolded and try to hit canoes with waterguns and water balloons
,Materials,"fruit, knife, bandana x6, food tarp",,,,Materials,,,,,Materials,"Bubble Suits x6, soccer ball, goals",,,,Materials,"cardboard, 2 tapes, flamethrower, nerfguns x6, safety glasses x6, pool noodles",,,,Materials,"Canoes, waterguns, reusable water balloons, pool noodles, blindfolds,"
,Location,Field - Cedar,,,,Location,Dining Area 1,,,,Location,Slip and Slide - Manzi,,,,Location,Campfire Circle,,,,Location,Lake - Swim Area 2
,Notes,Katana hero,,,,Notes,Liquid Nitrogen,,,,Notes,English- Football,,,,Notes,flame thrower hero,,,,Notes,LIFEGUARD
,HEROES,Village Heroes,,,,HEROES,Liquid Nitrogen,,,,HEROES,,,,,HEROES,Village Heroes,,,,HEROES,LIFEGUARD
P3,Activity,Pine sabers,,,,Activity,Snorkel at Secret Pool,,,,Activity,Airsoft  fort war Rest Hour,,,,Activity,Lake Activities,,,,Activity,Wheel of Tie Dye
,Description,make light sabers in lathe with pool noodles,,,,Description,Snorkel at secret pool and sunbath and lunch,,,,Description,Airsoft fight and build a fort with another cabin,,,,Description,Bubble Suits sumo fight on water mat with water toys,,,,Description,we spin each other on the wheel of death with shirts and throw paint at one another
,Materials,"wood, pool noodles",,,,Materials,"scuba gear, facvemasks, flippers",,,,Materials,"cardboard, airsoft guns",,,,Materials,"6 Bubble Suits, water toys",,,,Materials,"waterguns, white shirts, tiedye paint, safety glasses"
,Location,Lathe,,,,Location,Secret Pool,,,,Location,Back 40 1,,,,Location,Lake - Swim Area 2,,,,Location,Wheel of Doom
,Notes,Lathe hero - Mogee preferable,,,,Notes,Lifeguard (sarah preferable),,,,Notes,Airsoft Hero,,,,Notes,sarah Need HERO that has viewed new bubbsuit KM,,,,Notes,Wheel of Doom failitator
,HEROES,"Mogee, Lathe Woodworking",,,,HEROES,"Sarah, LIFEGUARD",,,,HEROES,Airsoft Setup,,,,HEROES,,,,,HEROES
P4,Activity,Watergun Zombie,,,,Activity,Paintball Hunt,,,,Activity,water gun battle royale with foam shields at OSPY,,,,Activity,giant swing with water gun,,,,Activity,CTF with nerf guns
,Description,one person has a water gun to start if someone is shot they become a zombie and get a water gun non zombies have shields,,,,Description,"pine 4 hunts down Liam, and in the back 40 opens fire",,,,Description,water gun battle royale with foam shields at OSPY,,,,Description,giant swing but the person has a water gun and shoots into the crowd,,,,Description,two teams of 4 try to find a hidden item in pine village with nerf guns
,Materials,"5x water guns, 5x shields, could use cardboard as shields",,,,Materials,"5x paintball guns, masks, bags",,,,Materials,,,,,Materials,"1x watergun, 1rope, and caribiners,",,,,Materials,"6x working nerf guns must be equal in quality, 1x handheld object to hide, 6x protective eye gear"
,Location,Pine,,,,Location,Back 40 1,,,,Location,_Other (comment where),,,,Location,Giant Swing,,,,Location,Pine
,Notes,anywhere is doable,,,,Notes,paintball hero,,,,Notes,Battle Royale Hero (Liam is checked off on this),,,,Notes,giant swing 1st or 2nd Liam is both,,,,Notes
,HEROES,,,,,HEROES,Paintball  Setup,,,,HEROES,Battle Royale,,,,HEROES,"Giants Swing 1st, Giants Swing 2nd, Pole Course On ground",,,,HEROES
P5,Activity,Lake Swing Tic Tac Toe (plus ?),,,,Activity,Real Life Mafia,,,,Activity,Bubble Suit Slip n Slide Soccer,,,,Activity,EMBERS: Gillie Suit Hide & Seek,,,,Activity,Chair Pull Trivia
,Description,"2 teams, rope swing into it, If they go into one of them, then put a ball  into it . Look for winners!
If this KIBIDs, then take ideas from the escalating water fight and have fun on the tiny field lake (sponges --> water balloons --> water gun --> hose roulette) - PLEASE DON'T MAKE IT OFFICIAL WITHOUT CONSULTATION",,,,Description,Play Mafie but around the village but in real life,,,,Description,,,,,Description,Put Gillie suits on and play hide and seek in the woods,,,,Description,"Chair game (he did it last time), long rope, helmet"
,Materials,"Pool noodles to make tic tac toe board (probably 8 circles), duct tape, 4 of one color floating balls and 4 of another color floating balls",,,,Materials,"Rules to live action mafia, fake blood, costumes (get themselves), some cards to determine who the mafia person is",,,,Materials,"Soccer goals (small), Soccer ball, Bubble Suit x6, Helmets (pending UAD)",,,,Materials,"5 gillie suits, 5 headlamps, caution tape (!300ft)",,,,Materials,Trivia Questions (ask the cabin about categories)
,Location,Lake - Swing,,,,Location,Pine,,,,Location,Slip and Slide - Manzi,,,,Location,Back 40 1,,,,Location,Lake - Swim Area 1
,Notes,"Rope Swing Hero, Life Guard",,,,Notes,,,,,Notes,,,,,Notes,HEROES - Maya O & Paul (his HERO),,,,Notes,Lifeguard
,HEROES,"Rope Swing, LIFEGUARD",,,,HEROES,,,,,HEROES,,,,,HEROES,Paul,,,,HEROES,LIFEGUARD
O1,Activity,RH Many activities at the Falls,,,,Activity,Invent a New Game Based on Chess,,,,Activity,Tie Dye Balloon Shirts,,,,Activity,Make Mystical Potions,,,,Activity,Mystical Improv Cabin Act
,Description,"Do henna, paint rocks, nature journal at the falls",,,,Description,Invent a new game based on chess that examines the morality of different moves in chess.,,,,Description,Throw Tie Dye Balloons at shirt that we will later embroider.,,,,Description,The cabin will collect herbs in the garden and make potion drinks (in liue of juice at lunch),,,,Description,"The cabin will put on costumes and follow their hearts desire, this will be a very character based/ unplanned cabin act (but intentional and planned from Rae and the cabin)"
,Materials,"7 cones of Henna, 3 sets of 'nature safe' paint for the rocks, 7 very cute maybe floral sheets of paper, snorkels",,,,Materials,"Chess board with all pieces, 3 sheets of cardboard (12 x 12), lots of markers packing tape",,,,Materials,"7 reusable balloons, 3 small buckets of tie dye (pink, blue, green), 7 white t-shirts (all adult mediums), safety goggles (aroudn the eyes)",,,,Materials,"ice, iced tea, juices, cups, edible glitter",,,,Materials
,Location,The Falls - Bottom,,,,Location,Blockprinting,,,,Location,Craft Shack 1,,,,Location,_Other (comment where),,,,Location,_Other (comment where)
,Notes,,,,,Notes,,,,,Notes,,,,,Notes,Garden,,,,Notes,They don't need supplies but may come peek in the VLed for inspiration
,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES
O2,Activity,Henna and Friendship Bracelets @Falls,,,,Activity,"Mute, Deaf, and Blind Bread Making",,,,Activity,Water Gun Wheel of Doom Trivia,,,,Activity,Aerial Yoga Mafia,,,,Activity,Ninja Attack Face Paint
,Description,Go to falls and do henna and friendship bracelets,,,,Description,"A few campers are mute, deaf, and blind and make bread",,,,Description,Have campers on wheel of doom like hot seat and getting trivia questions - either spin or pie face if wrong answer,,,,Description,Have aerial yoga silks down and play mafia,,,,Description,Disguise themselves in face paint and costumes and go around creating Ninja antics and mischeif
,Materials,"Friendship bracelet string, Henna (5)",,,,Materials,"Bread ingredients, blindfolds, Soundproof headphones, earplugs",,,,Materials,"Pie tins, Whipped cream, wheel of doom, trivia questions",,,,Materials,Aerial Yoga,,,,Materials,Face paint
,Location,The Falls - Bottom,,,,Location,Outdoor Kitchen,,,,Location,Wheel of Doom,,,,Location,Lodge,,,,Location,_Other (comment where)
,Notes,,,,,Notes,Need a bread HERO,,,,Notes,"Two kids rated this a 3, Wheel of Doom facilitator",,,,Notes,Aerial Yoga HERO,,,,Notes,roaming camp
,HEROES,,,,,HEROES,Bread making,,,,HEROES,,,,,HEROES,Yoga,,,,HEROES
O3,Activity,Henna Designs and Spa Day,,,,Activity,Cabin T-shirts,,,,Activity,Become Cedar Gym Bros,,,,Activity,Tree climbing while painting,,,,Activity,Picnic on Canopy
,Description,Practicing henna designs while having a chill spa day at hot rocks,,,,Description,Make cabin t-shirts together,,,,Description,Dress up like men and do exercises in the Cedar Gym while talking about gender roles and strength,,,,Description,Each start a painting while doing tree climbing clinic and pass them around to add on to while they tree climb,,,,Description,Having a picnic on canopy zip platform - if not possible then the fall is fine.
,Materials,"Henna, Face Masks, Hair Tinsel",,,,Materials,"Beadworking materials, t-shirts, fabric paint and pens",,,,Materials,Costumes,,,,Materials,"Canvases, paint, palettes, paintbrushes, tree climbing stuff",,,,Materials
,Location,Hot Rocks,,,,Location,Craft Shack 2,,,,Location,Cedar,,,,Location,Tree Climbing,,,,Location,Canopy Tour
,Notes,,,,,Notes,Beadworking HERO?,,,,Notes,Davi,,,,Notes,Level 2 on the Ground (Vic) HERO,,,,Notes,Need an extra canopy HERO
,HEROES,,,,,HEROES,Village Heroes,,,,HEROES,Davi,,,,HEROES,"Vic, Ground Belay 1st CW, Pole Course On ground",,,,HEROES,"Canopy Tour 1st, Pole Course On ground"
O4,Activity,Low Ropes,,,,Activity,Spa at the Top of the Falls,,,,Activity,Kill a Mosquito and Place a Curse on its Lineage,,,,Activity,Fan Making,,,,Activity,Digestion Support Hour
,Description,Do some cabin bonding at low ropes,,,,Description,Spa day at falls,,,,Description,"Catch a mosquito ahead of time, dress in ropes and make a witch circle and curse the mosquito",,,,Description,Fabric Paint pieces of silk and then make fans,,,,Description,"The cabin will do yoga to support digestion and drink digestion tea, hoping to clear their cabin constipation"
,Materials,,,,,Materials,"face masks, tea (maybe iced in a thermos w/ cups)",,,,Materials,"Robes, candles, flash paper, salt, mosquito voodoo doll (maybe twine and they make their own?) , pens, lighter",,,,Materials,"Silk squares, popsicle sticks, tie dye, hot glues, printed instructions",,,,Materials,Tea
,Location,Low Ropes 1,,,,Location,The Falls - Top,,,,Location,Amphitheatre,,,,Location,Craft Shack 1,,,,Location,Lodge
,Notes,Low Ropes Facilitator,,,,Notes,,,,,Notes,,,,,Notes,,,,,Notes
,HEROES,"Low Ropes, Pole Course On ground",,,,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES
O5,Activity,Painting Pet Rocks,,,,Activity,Help in Kitchen,,,,Activity,Colored Paint water fight with t-shirts,,,,Activity,EMBERS: Graduating Camp Celebration Rave,,,,Activity,Build a Radio REST HOUR
,Description,They will create pet rocks to decorate their cabin and then bring home with them,,,,Description,Help Kitchen prep lunch :),,,,Description,Use tape/resin stuff to create designs on t-shirts then have a paint fight to add color to the shirts,,,,Description,The cabin will travel deep into the forest at night and dance with wands and lights under the stars to celebrate a final year of Augustan magic,,,,Description,They will assemble a radio that has been disassembled and then listen to the radio while in Aerial Yoga
,Materials,"Rocks, paint, googly eyes, glitter, string, glue",,,,Materials,,,,,Materials,"White shirts x7, colored paint water, reusable water balloons?, water guns, tape, white glue/paint/resin to make the color paint not stick, Glasses Tie Dye, ppe for face",,,,Materials,"Speaker, glowsticks, light up wands, fairy lights, sparklers, costumes",,,,Materials,"Disassembled radio, screwdriver, glitter, duct tape, super glue"
,Location,Craft Shack 2,,,,Location,Kitchen,,,,Location,Field - Cedar,,,,Location,Madrone Cradle,,,,Location,Lodge
,Notes,,,,,Notes,,,,,Notes,Part 1 of 2 for cabin shirts making  Tie Dye,,,,Notes,,,,,Notes,Aerial Yoga HERO
,HEROES,,,,,HEROES,,,,,HEROES,Tie Dye,,,,HEROES,,,,,HEROES,Yoga
O6,Activity,Guess the Miracle Berry Flavor,,,,Activity,Pinata Making,,,,Activity,"Blind, Mute, Deaf Baking / Cooking Challenge",,,,Activity,Help a Horse Find its Inner Beauty,,,,Activity,Murder Mystery
,Description,Take miracle berries and then guess the food they are tasting,,,,Description,Make a pinata out of paper mache,,,,Description,see title,,,,Description,Paint the horses and whisper positive self love affirmations to them,,,,Description,Run a murder mystery
,Materials,"Miracle Berries, lemon in wedges, apple cidar vinagar, unsweetened yogurt, pickles, blasamic vinagar",,,,Materials,"cardboard, hot glue, various colored paper, glue stick, paint, scissors, duct tape, raisins, cranberries, little tubs to hold the raisins and cranberries",,,,Materials,,,,,Materials,tempura paint,,,,Materials,"printed clues, 7 clip boards, pens, water cups, pitcher"
,Location,Dining Area 2,,,,Location,Craft Shack 1,,,,Location,Outdoor Kitchen,,,,Location,Horses,,,,Location,Ceramics
,Notes,,,,,Notes,,,,,Notes,ODK facilitator,,,,Notes,EQ,,,,Notes,"an extra hour, https://www.dennisspielman.com/photos/games/moviemurdermystery/movie_murder_mystery_party_game.pdf"
,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES
C1,Activity,Silent Game,,,,Activity,Rope Swing Tic Tac Toe,,,,Activity,Spa Paint Day,,,,Activity,Iceberg Trivia,,,,Activity,Smoke Machine Marco Polo in Lodge
,Description,(445455) One Seeker who is blindfolded will try to find/shoot the hiders by using sound. Hiders try to ninja clip or annoy the seeker silently.,,,,Description,(55445) Do rope swing with the poolnoodle tic tac toe.,,,,Description,"(54333 Stetson, Jude, Max) A calming spa day while painting with water colors and henna.",,,,Description,"(44555) Iceberg Trivia with variations: paddle boards jousing with poolnoodles,  slippery lake mats if possible.",,,,Description,"(55543 Beau) Smoke the lodge up with fog machines and play games (marco polo, hide n seek, dodgeball)"
,Materials,"15 dodgeballs, 8 pool noddles, 2 neft guns, 2 blindfolds, 20 ninja clips, mats from Lodge (self collected)",,,,Materials,The poolnoodle tic tac toe,,,,Materials,"5 sets of water colors, 5 large stretch papers, spa box with nail polish, 5x henna",,,,Materials,"Floaties (self collected), 1 football, Trivia Questions",,,,Materials,"2 Fog machine (full of fog), 3 long pool noodles, 1 tape roll for pool noodles, 12 dodeballs, 1 speaker, 6 radios"
,Location,Lodge,,,,Location,Lake - Swing,,,,Location,Hot Rocks,,,,Location,Lake - Outer 1,,,,Location,Lodge
,Notes,,,,,Notes,"Ropeswing Faci, Lifeguard",,,,Notes,,,,,Notes,Lifeguard,,,,Notes,Need to inform Alexis in advance
,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES,LIFEGUARD,,,,HEROES,Alexis
C2,Activity,King of the Mat Variation,,,,Activity,Canoe War,,,,Activity,Cedar 2 Paintball vs Dat in Back 40,,,,Activity,Watermelon Rubber Band Challenge,,,,Activity,Scuba Picnic @ The Falls
,Description,(55533) Campers will get on the mat by the lake and play king of the mat with different variations.,,,,Description,"(44444) Canoeing 1 vs 1, with 3 camper on each canoe with poolnoodes and water guns.",,,,Description,(25345) Cedar 2 try to hunt Dat while Dat sniping them with paintball gun.,,,,Description,(33332) Putting rubber band on a watermelon until it explodes then they will eat the watermelon.,,,,Description,"(55555) Campers will have a picnic at the Fall and swim, and eat."
