Session 4- Cabin Act Sorting 2026_ - B
,Monday,,,,,Tuesday,,,,,Wednesday,,,,,Thursday,,,,,Friday

M1,Activity,Cabin Decor - posters,,,,Activity,Make Chocolate Chip Cookies,,,,Activity,RH: Make slime and squishies,,,,Activity,CAPP: Paint Mural at Craft Shack,,,,Activity,Fashion Show
,Description,make cabin posters,,,,Description,https://www.allrecipes.com/recipe/244642/5-ingredient-easy-chocolate-chip-cookies/,,,,Description,,,,,Description,,,,,Description,Facepaint and costumes
,Materials,"pens, poster paper, paint pens, tape, markers,",,,,Materials,,,,,Materials,"slime stuff, balloons,",,,,Materials,,,,,Materials,"facepaint, costumes"
,Location,Craft Shack 2,,,,Location,Dining Area then community kitchen,,,,Location,Dining Area 1,,,,Location,Craft Shack 1,,,,Location,Lodge
,Notes,,,,,Notes,On cookie day please,,,,Notes,,,,,Notes,Craft Fairy,,,,Notes
,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES,,,,,HEROES
M2,Activity,Blind Touch Test,,,,Activity,Picnic at Yuba - SWIM TEST,,,,Activity,Squishy ASMR,,,,Activity,Low Ropes Game Show,,,,Activity,Kidnapped and take to cedar
,Description,Campers reach into box and have to guess what they're touching. if wrong get shot with watergun,,,,Description,,,,,Description,Make squishies with slime in them and use candle wax to crack them and do ASMR,,,,Description,Host does a game show with contestants and shoots them with waterguns when they mess up,,,,Description,Evil Pip will kidnap us and take us to evil cedar where they must escape with a scavenger hunt
,Materials,"Box, 5 random objects, water guns",,,,Materials,"lunch, at least 3 youth small/universal lifejackets",,,,Materials,"Balloons (6), Borax, glue, shaving cream, slime recipe, measuring cups, mixing bowl, Sharpies",,,,Materials,"Water guns, buzzer, microphone",,,,Materials,"blindfolds, bandanas, paper"
,Location,Dining Area 2,,,,Location,Yuba 1,,,,Location,Candle Making,,,,Location,Low Ropes 1,,,,Location,Cedar
,Notes,,,,,Notes,"Lifeguard, Driver",,,,Notes,Candle HERO,,,,Notes,Low Ropes Facilitator,,,,Notes,"Pip needed, me and pip can create the scavenger hunt but may need help"
,HEROES,,,,,HEROES,"LIFEGUARD, Driver",,,,HEROES,Candle making,,,,HEROES,"Low Ropes, Pole Course On ground",,,,HEROES,Pip
M3,Activity,Decorate a Horse,,,,Activity,Slip and Slide,,,,Activity,RH - Bedazzle Brian,,,,Activity,m,,,,Activity,Build Things & Set on Fire
,Description,"put flowers on horses, braid the hair, costume them up",,,,Description,,,,,Description,,,,,Description,,,,,Description
,Materials,"flowers, hair ties, costumey things",,,,Materials,,,,,Materials,"Face gems, face paint",,,,Materials,"liquid nitrogen, ice crweam supplies",,,,Materials,"sticks, etc."
,Location,Horses,,,,Location,Slip n Slide,,,,Location,Manzi,,,,Location,,,,,Location
,Notes,Horse,,,,Notes,,,,,Notes,Brian,,,,Notes,Liquid nitrogen HERO,,,,Notes,Flamethrower HERO
,HEROES,,,,,HEROES,,,,,HEROES,Brian,,,,HEROES,Liquid Nitrogen,,,,HEROES,Flamethrower
